grupa,czlonow,czlony,y0,baseline_pct,prog_pct,szczyt_pct,rok_szczytu,prevalence_2021_2025_pct,docs_total,trwalosc_2025_do_szczytu,prac_od_y0,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,czas_podwojenia_lat
adductor canal block,1,,2016,0.0,0.1,0.239,2021,0.205,288,0.96,262,1.9,211.9,China,31.0,5.7,11.5,8703515,11.5,28.7,7.2
oblique lumbar interbody fusion,1,,2019,0.0,0.1,0.239,2024,0.203,199,0.87,184,1.6,159.7,China,68.4,2.1,3.8,101528275,17.4,13.9,6.1
latarjet procedure,1,,2018,0.0245,0.1227,0.304,2024,0.202,326,0.57,215,2.3,178.5,USA,26.1,9.2,12.6,9206499,20.5,9.2,7.9
percutaneous endoscopic lumbar discectomy,1,,2016,0.0164,0.1,0.264,2018,0.2,323,0.79,272,1.8,216.3,China,84.0,1.4,8.1,101528275,14.3,16.9,2.3
arcr,1,,2020,0.0084,0.1,0.267,2024,0.196,208,0.86,155,1.9,134.2,USA,22.8,6.7,3.9,8506498,18.7,10.5,3.1
transfemoral amputation,1,,2013,0.0207,0.1036,0.215,2025,0.19,295,1.0,272,1.1,229.8,USA,38.5,5.6,14.0,7707720,15.8,22.1,14.7
lateral extra articular tenodesis,1,,2020,0.0,0.1,0.273,2025,0.186,178,1.0,146,2.1,122.5,USA,27.2,8.5,14.4,8506498,28.8,6.4,5.1
volar locking plate,1,,2016,0.0249,0.1246,0.217,2024,0.183,363,0.79,260,1.5,226.8,Japan,15.2,12.2,11.2,7609631,10.0,28.2,72.2
femoral neck system,1,,2022,0.0,0.1,0.275,2024,0.178,124,0.76,110,3.6,89.0,China,67.6,2.1,4.5,100968565,22.7,12.4,1.6
virtual reality,1,,2020,0.0206,0.1032,0.28,2025,0.173,187,1.0,137,2.9,124.3,USA,24.0,9.0,5.8,8506498,5.1,62.4,4.0
open wedge high tibial osteotomy,1,,2016,0.0208,0.1041,0.218,2019,0.165,307,0.43,228,2.6,140.5,Japan,29.1,4.6,6.6,9314730,15.4,14.8,3.4
augmented reality,1,,2022,0.0,0.1,0.24,2023,0.161,148,0.6,97,4.1,79.1,USA,26.1,7.7,9.3,8703515,5.2,46.8,
cephalomedullary nail,1,,2021,0.0125,0.1,0.179,2025,0.157,213,1.0,108,1.9,100.6,USA,20.0,9.5,7.4,0226040,23.1,12.1,22.8
short stem,1,,2015,0.0123,0.1,0.199,2021,0.155,252,0.68,208,3.4,147.2,Germany,16.7,12.8,7.7,9011043,14.4,19.2,29.1
cervical disc arthroplasty,1,,2016,0.0208,0.1041,0.216,2023,0.148,310,0.53,224,4.5,132.7,China,42.0,3.2,16.1,101130732,10.3,18.4,
targeted muscle reinnervation,1,,2021,0.004,0.1,0.2,2023,0.145,150,0.72,100,2.0,94.3,USA,69.1,2.0,19.0,1306050,11.0,23.5,2.7
primary unilateral total knee arthroplasty,1,,2015,0.0206,0.1032,0.182,2016,0.139,270,0.71,220,0.9,201.7,China,33.8,4.6,8.6,8703515,23.6,14.0,
kinematic alignment,1,,2022,0.0,0.1,0.194,2025,0.139,164,1.0,87,3.4,68.2,USA,23.5,8.8,2.3,9314730,40.2,5.5,4.2
oblique lateral interbody fusion,1,,2020,0.0,0.1,0.199,2022,0.135,140,0.65,112,4.5,75.6,China,61.1,2.4,3.6,101528275,11.6,16.8,2.7
elective total knee arthroplasty,1,,2022,0.0166,0.1,0.162,2022,0.133,200,0.98,80,3.8,72.7,USA,50.7,3.3,6.2,8703515,26.2,11.6,
dual mobility cup,1,,2016,0.0,0.1,0.189,2020,0.094,221,0.38,172,1.7,145.0,France,32.5,7.2,7.0,7705431,23.8,10.0,16.7
unilateral anterior cruciate ligament reconstruction,1,,2017,0.0041,0.1,0.198,2018,0.091,185,0.51,138,2.2,116.1,USA,50.4,3.5,8.0,7609541,13.8,19.0,
anterolateral ligament,1,,2016,0.0,0.1,0.162,2017,0.09,159,0.8,151,2.0,128.8,USA,23.3,10.2,14.6,8506498,21.9,10.2,
mom total hip arthroplasty,1,,2014,0.0,0.1,0.14,2018,0.019,118,0.1,96,2.1,82.3,USA,34.1,5.8,14.6,8703515,20.8,9.3,
