term,n,y0,peak_year,peak_share,baseline_share,threshold,exceedance,prevalence_2021_2025,docs_total,occurrences
method a retrospective,3,2021,2025,0.07631596548725837,0.006581860974770322,0.03290930487385161,2.318978349126296,0.0492705939934469,7241,7242
retrospective cohort study,3,2017,2025,0.06869105745435088,0.0030637629825951457,0.015318814912975728,4.484097356393179,0.048658790260084565,6123,6716
review and,2,2017,2025,0.05424386328673667,0.004210895380112851,0.021054476900564254,2.5763576812151983,0.04841406876673963,6666,9197
regression analysis,2,2021,2025,0.052772389806701896,0.007882413245685152,0.03941206622842576,1.3389906913492413,0.04823732546599051,7854,9414
patient were included,3,2017,2025,0.05444451876128687,0.004253717998110775,0.021268589990553876,2.559855579775979,0.04799260397264558,6605,6734
multivariate,1,2021,2025,0.05431074844492007,0.00827450324445511,0.04137251622227555,1.312725292151276,0.04766630864818566,8014,10499
body mass index,3,2019,2024,0.052642235270297634,0.007337108884676026,0.03668554442338013,1.4349585401477132,0.046347531711826845,8028,9327
95 ci 1,3,2014,2025,0.05778877667045683,0.003637236680780139,0.018186183403900696,3.1776198109858442,0.045640558508830364,7089,14857
between january,2,2023,2025,0.056250418032238646,0.008881670123116522,0.04440835061558261,1.2666630769326688,0.04558617595475371,7238,7305
embase,1,2013,2025,0.0523710788576015,0.0024213181283671468,0.012106590641835734,4.325832136144682,0.045504602123638736,6880,6925
inclusion criterion,2,2016,2025,0.054043207812186474,0.006564025612905575,0.03282012806452787,1.646648291741329,0.045096732968063845,8067,8670
the primary outcome,3,2016,2025,0.059661561099592,0.0038041440813729502,0.01902072040686475,3.13666148407605,0.044906394028795565,6299,6573
