nlm_unique_id,title,medlineabbr,issn,country,startyear,endyear,currently_indexed,broad_headings,catalog_uid
9918384887206676,Die Orthopädie,Orthopadie (Heidelb),2731-7153;2731-7145,Germany,2022,9999,1,Orthopedics,384228
101265191,Eklem hastalıkları ve cerrahisi = Joint diseases & related surgery,Eklem Hastalik Cerrahisi,1305-8282;1309-0313,Turkey,2005,2019,0,Orthopedics,101265191
7611997,Ergebnisse der Chirurgie und Orthopädie,Ergeb Chir Orthop,0300-8681,Germany,1910,1971,0,General Surgery;Orthopedics,7611997
9518037,European journal of orthopaedic surgery & traumatology : orthopédie traumatologie,Eur J Orthop Surg Traumatol,1633-8065;1432-1068,France,1995,9999,1,Orthopedics;Traumatology,9518037
9301980,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",Eur Spine J,0940-6719;1432-0932,Germany,1992,9999,1,Orthopedics,9301980
8010104,Foot & ankle,Foot Ankle,0198-0211,United States,1980,1993,0,Orthopedics,8010104
9433869,Foot & ankle international,Foot Ankle Int,1071-1007;1944-7876,United States,1994,9999,1,Orthopedics,9433869
101473598,Foot & ankle specialist,Foot Ankle Spec,1938-6400;1938-7636,United States,2008,9999,1,Orthopedics;Podiatry,101473598
9615073,Foot and ankle clinics,Foot Ankle Clin,1083-7515;1558-1934,United States,1996,9999,1,Orthopedics,9615073
9609647,Foot and ankle surgery : official journal of the European Society of Foot and Ankle Surgeons,Foot Ankle Surg,1268-7731;1460-9584,France,1996,9999,1,Orthopedics,9609647
9416830,Gait & posture,Gait Posture,0966-6362;1879-2219,England,1993,9999,1,Orthopedics,9416830
101264149,Hand : official journal of the American Association for Hand Surgery,Hand (N Y),1558-9447;1558-9455,United States,2006,9999,1,General Surgery;Orthopedics,101264149
8510415,Hand clinics,Hand Clin,0749-0712;1558-1969,United States,1985,9999,1,Orthopedics,8510415
101245792,Head & face medicine,Head Face Med,1746-160X,England,2005,9999,1,Dentistry;Medicine;Orthopedics,101245792
9200413,Hip international : the journal of clinical and experimental research on hip pathology and therapy,Hip Int,1120-7000;1724-6067,United States,1991,9999,1,Orthopedics,9200413
7507149,Instructional course lectures,Instr Course Lect,0065-6895,United States,1943,9999,1,Orthopedics,7507149
101528681,International journal of orthopaedic and trauma nursing,Int J Orthop Trauma Nurs,1878-1241;1878-1292,England,2010,9999,1,Nursing;Orthopedics;Traumatology,101528681
7705431,International orthopaedics,Int Orthop,0341-2695;1432-5195,Germany,1977,9999,1,Orthopedics,7705431
7511480,Italian journal of orthopaedics and traumatology,Ital J Orthop Traumatol,0390-5489,Italy,1975,1993,0,Orthopedics;Traumatology,7511480
7801241,Italian journal of orthopaedics and traumatology.  Supplementum,Ital J Orthop Traumatol Suppl,,Italy,1975,1978,0,Orthopedics;Traumatology,7801241
101596828,JBJS case connector,JBJS Case Connect,2160-3251,United States,2011,9999,1,Orthopedics,101596828
101674872,JBJS reviews,JBJS Rev,2329-9185,United States,2013,9999,1,Orthopedics,101674872
101764223,Joint diseases and related surgery,Jt Dis Relat Surg,2687-4792;2687-4784,Turkey,2020,9999,1,Orthopedics,101764223
9918938929606676,JOSPT open,JOSPT Open,2832-8280,United States,2022,9999,1,Orthopedics;Sports Medicine,137550
8610640,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,J Bone Miner Res,0884-0431;1523-4681,England,1986,9999,1,Metabolism;Orthopedics,8610640
9808212,Journal of clinical densitometry : the official journal of the International Society for Clinical Densitometry,J Clin Densitom,1094-6950,United States,1998,9999,1,Clinical Laboratory Techniques;Metabolism;Orthopedics,9808212
9518034,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,J Clin Rheumatol,1076-1608;1536-7355,United States,1995,9999,1,Orthopedics;Physiology;Rheumatology,9518034
101471610,Journal of foot and ankle research,J Foot Ankle Res,1757-1146,United States,2008,9999,1,Orthopedics;Podiatry,101471610
101680867,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,J ISAKOS,2059-7762;2059-7754,England,2016,9999,1,Orthopedics;Sports Medicine,101680867
101084496,Journal of musculoskeletal & neuronal interactions,J Musculoskelet Neuronal Interact,1108-7161,Greece,2000,9999,1,Neurology;Orthopedics;Physiology,101084496
8404726,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,J Orthop Res,0736-0266;1554-527X,United States,1983,9999,1,Orthopedics,8404726
9604934,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,J Orthop Sci,0949-2658;1436-2023,Japan,1996,9999,1,Orthopedics,9604934
9440382,Journal of orthopaedic surgery,J Orthop Surg (Hong Kong),1022-5536;2309-4990,England,1993,9999,1,Orthopedics,9440382
101265112,Journal of orthopaedic surgery and research,J Orthop Surg Res,1749-799X,England,2006,9999,1,Orthopedics,101265112
8807705,Journal of orthopaedic trauma,J Orthop Trauma,0890-5339;1531-2291,United States,1987,9999,1,Orthopedics;Traumatology,8807705
101090931,Journal of orthopaedics and traumatology : official journal of the Italian Society of Orthopaedics and Traumatology,J Orthop Traumatol,1590-9921;1590-9999,Italy,2000,9999,1,Orthopedics;Traumatology,101090931
8109053,Journal of pediatric orthopedics,J Pediatr Orthop,0271-6798;1539-2570,United States,1981,9999,1,Orthopedics;Pediatrics,8109053
9300904,Journal of pediatric orthopedics. Part B,J Pediatr Orthop B,1060-152X;1473-5865,United States,1992,9999,1,Orthopedics;Pediatrics,9300904
9206499,Journal of shoulder and elbow surgery,J Shoulder Elbow Surg,1058-2746;1532-6500,United States,1992,9999,1,General Surgery;Orthopedics,9206499
8904842,Journal of spinal disorders,J Spinal Disord,0895-0385,United States,1988,2001,0,Orthopedics,8904842
101140323,Journal of spinal disorders & techniques,J Spinal Disord Tech,1536-0652;1539-2465,United States,2002,2015,0,Orthopedics,101140323
101197881,Journal of surgical orthopaedic advances,J Surg Orthop Adv,1548-825X,United States,2003,9999,1,Orthopedics,101197881
101724868,Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews,J Am Acad Orthop Surg Glob Res Rev,2474-7661,United States,2017,9999,1,Orthopedics,101724868
9211289,Journal of the Southern Orthopaedic Association,J South Orthop Assoc,1059-1052,United States,1992,2003,0,Orthopedics,9211289
0372573,La Chirurgia degli organi di movimento,Chir Organi Mov,0009-4749;1973-2538,Italy,1917,2009,0,Orthopedics,372573
0372601,La Clinica ortopedica,Clin Ortop,0009-9023,Italy,1949,1976,0,Orthopedics,372601
0074071,"Magyar traumatológia, orthopaedia és helyreállító sebészet",Magy Traumatol Orthop Helyreallito Seb,0025-0317,Hungary,1960,1992,0,General Surgery;Orthopedics;Traumatology,74071
9313834,"Magyar traumatológia, ortopédia, kézsebészet, plasztikai sebészet",Magy Traumatol Ortop Kezseb Plasztikai Seb,,Hungary,1992,9999,0,General Surgery;Orthopedics;Traumatology,9313834
7900146,Metabolic bone disease & related research,Metab Bone Dis Relat Res,0221-8747,France,1978,1984,0,Metabolism;Orthopedics,7900146
2984772R,Minerva ortopedica,Minerva Ortop,0026-4911,Italy,1950,1986,0,Orthopedics,445777
0035777,Modern trends in orthopaedics,Mod Trends Orthop,0077-0159,England,1950,1972,0,Orthopedics,35777
101181344,Musculoskeletal care,Musculoskeletal Care,1478-2189;1557-0681,England,2003,9999,1,Orthopedics;Physiology,101181344
