pozycja,term,n,y0,peak_year,docs_total,prevalence_2021_2025
218,esr,1,2017,2021,536,0.003351225881328884
219,higher odd,2,2018,2025,375,0.0033367184099811404
220,retrospective case control study,4,2015,2024,518,0.003322210938633396
221,ors,1,2017,2025,448,0.003322210938633396
222,similar rate,2,2021,2024,407,0.003322210938633396
223,all cause revision,3,2019,2025,304,0.003322210938633396
224,sacral slope,2,2015,2025,490,0.003307703467285652
225,electronic medical record,3,2013,2024,441,0.003307703467285652
226,posterior tibial slope,3,2021,2025,434,0.003307703467285652
227,artificial intelligence,2,2021,2025,250,0.003307703467285652
228,lld,1,2023,2023,432,0.003293195995937908
229,mechanical complication,2,2021,2025,399,0.003293195995937908
230,all participant,2,2015,2025,517,0.003278688524590164
231,shorter operative time,3,2022,2025,433,0.003278688524590164
232,quality assessment,2,2014,2025,426,0.003278688524590164
233,reduction quality,2,2021,2025,364,0.003278688524590164
234,confounder,1,2015,2025,394,0.0032641810532424197
235,medial proximal tibial angle,4,2019,2024,334,0.0032351661105469317
236,machine learning,2,2019,2023,270,0.0032351661105469317
237,provider,1,2018,2020,609,0.0032061511678514436
238,secondary outcome measure,3,2014,2020,659,0.0031916436965036994
239,correlation analysis,2,2020,2025,454,0.0031916436965036994
240,pts,1,2017,2025,347,0.003177136225155955
241,two reviewer,2,2017,2023,564,0.0031626287538082114
242,trial registration number,3,2015,2025,389,0.0031626287538082114
243,roc curve,2,2021,2023,384,0.0031626287538082114
244,fjs,1,2019,2025,286,0.003148121282460467
245,lesson,1,2017,2018,674,0.003133613811112723
246,discharge disposition,2,2015,2024,454,0.003133613811112723
247,mean body mass index,4,2017,2025,466,0.003119106339764979
248,anatomic total shoulder arthroplasty,4,2017,2023,400,0.003119106339764979
249,rtka,1,2019,2025,301,0.003119106339764979
250,robotic assisted total knee arthroplasty,5,2021,2025,244,0.003119106339764979
251,disparity,1,2022,2024,369,0.003104598868417235
252,mcs,1,2015,2025,474,0.0030900913970694907
253,sa,1,2016,2024,404,0.003075583925721747
254,newcastle ottawa scale,3,2019,2025,321,0.003075583925721747
255,covid 19 pandemic,3,2020,2020,289,0.003075583925721747
256,ai,1,2019,2025,324,0.0030610764543740026
257,study protocol,2,2015,2025,445,0.0030175540403307704
258,network meta analysis,3,2017,2024,332,0.0030175540403307704
259,pjis,1,2018,2024,338,0.003003046568983026
260,fnf,1,2018,2024,331,0.003003046568983026
261,mid term follow up,4,2013,2021,494,0.0029885390976352824
262,pjk,1,2016,2025,357,0.002974031626287538
263,fais,1,2019,2023,258,0.002959524154939794
264,substantial clinical benefit,3,2019,2025,276,0.00294501668359205
265,5 0,2,2023,2025,457,0.002930509212244306
266,international classification,2,2011,2017,597,0.0029160017408965616
