term,y0,kategoria_ocena,kanon,grupa,zrodlo,nadrzedny
transforaminal lumbar interbody fusion,2010,technika,transforaminal lumbar interbody fusion,transforaminal lumbar interbody fusion,nowy,
arthroscopic rotator cuff repair,2014,technika,arthroscopic rotator cuff repair,arthroscopic rotator cuff repair,nowy,
locking plate,2006,technologia,locking plate,locking plate,nowy,
pvp,2008,technika,vertebral augmentation,vertebral augmentation,nowy,
robotic,2021,technologia,robotic,robotic assistance,nowy,
revision anterior cruciate ligament reconstruction,2017,technika,revision anterior cruciate ligament reconstruction,revision anterior cruciate ligament reconstruction,nowy,
kyphoplasty,2008,technika,kyphoplasty,kyphoplasty,nowy,
tar,2012,technika,total ankle arthroplasty,total ankle arthroplasty,nowy,
polyetheretherketone,2014,technologia,polyetheretherketone,polyetheretherketone,nowy,
labral repair,2014,technika,labral repair,labral repair,nowy,
lcp,2007,technologia,locking plate,locking plate,nowy,
pso,2014,technika,pedicle subtraction osteotomy,pedicle subtraction osteotomy,nowy,
vertebral augmentation,2013,technika,vertebral augmentation,vertebral augmentation,nowy,
medial patellofemoral ligament reconstruction,2018,technika,medial patellofemoral ligament reconstruction,medial patellofemoral ligament reconstruction,nowy,
pedicle subtraction osteotomy,2012,technika,pedicle subtraction osteotomy,pedicle subtraction osteotomy,nowy,
minimally invasive plate osteosynthesis,2014,technika,minimally invasive plate osteosynthesis,minimally invasive plate osteosynthesis,nowy,
highly cross linked polyethylene,2015,technologia,highly cross linked polyethylene,highly cross linked polyethylene,nowy,
computer navigation,2007,technologia,computer navigation,computer navigation,nowy,
ultrasound guidance,2023,technologia,ultrasound guidance,ultrasound guidance,nowy,
balloon kyphoplasty,2006,technika,kyphoplasty,kyphoplasty,nowy,
computer assisted navigation,2006,technologia,computer navigation,computer navigation,nowy,
ponseti method,2006,technika,ponseti method,ponseti method,nowy,
autologous chondrocyte implantation,2006,technika,autologous chondrocyte implantation,autologous chondrocyte implantation,nowy,
hip resurfacing,2005,technika,hip resurfacing,hip resurfacing,nowy,
tdr,2006,technika,total disc replacement,total disc replacement,nowy,
hip resurfacing arthroplasty,2007,technika,hip resurfacing,hip resurfacing,nowy,
aci,2010,technika,autologous chondrocyte implantation,autologous chondrocyte implantation,nowy,
total disc replacement,2005,technika,total disc replacement,total disc replacement,nowy,
locked plating,2011,technika,locking plate,locking plate,nowy,
double bundle reconstruction,2007,technika,double bundle reconstruction,double bundle reconstruction,nowy,
microfracture,2012,technika,microfracture,microfracture,propozycja VSC,
mimic software,2021,technologia,mimic software,mimic software,propozycja VSC,
mesenchymal stem cell,2017,technologia,mesenchymal stem cell,mesenchymal stem cell,propozycja VSC,
finite element analysis,2020,technologia,finite element analysis,finite element analysis,decyzja Przemka 2026-09-02,
fea,2020,technologia,finite element analysis,finite element analysis,decyzja Przemka 2026-09-02,
rcr,2019,technika,arcr,arthroscopic rotator cuff repair,stary,
arcr,2020,technika,arcr,arthroscopic rotator cuff repair,stary,
