grupa,rok_szczytu,powiklanie,y0_powiklania,wyprzedzenie_lat,wyprzedza,prac_grupy,prac_powiklania,wspolnych,krotnosc,pasmo
oblique lumbar interbody fusion,2022,back and leg pain,2010,-12,True,375,358,9,18.2,bez zaniku
oblique lumbar interbody fusion,2022,sagittal imbalance,2018,-4,True,375,253,5,14.3,bez zaniku
oblique lumbar interbody fusion,2022,adjacent segment disease,2010,-12,True,375,640,12,13.6,bez zaniku
oblique lumbar interbody fusion,2022,asd,2013,-9,True,375,1202,22,13.2,bez zaniku
oblique lumbar interbody fusion,2022,lss,2018,-4,True,375,340,6,12.8,bez zaniku
oblique lumbar interbody fusion,2022,adjacent segment degeneration,2004,-18,True,375,682,9,9.5,bez zaniku
oblique lumbar interbody fusion,2022,adult spinal deformity,2013,-9,True,375,833,8,6.9,bez zaniku
open wedge high tibial osteotomy,2022,koa,2020,-2,True,600,234,16,30.9,bez zaniku
open wedge high tibial osteotomy,2022,varus knee,2020,-2,True,600,237,12,22.9,bez zaniku
open wedge high tibial osteotomy,2022,knee injury,2016,-6,True,600,1153,32,12.6,bez zaniku
open wedge high tibial osteotomy,2022,knee osteoarthritis,2015,-7,True,600,1991,41,9.3,bez zaniku
patient specific instrumentation,2025,glenoid bone loss,2014,-11,True,569,319,5,7.5,bez zaniku
patient specific instrumentation,2025,ais,2014,-11,True,569,1328,15,5.4,bez zaniku
pedicle subtraction osteotomy,2014,sagittal imbalance,2018,4,False,465,253,52,119.9,bez zaniku
pedicle subtraction osteotomy,2014,adult spinal deformity,2013,-1,True,465,833,61,42.7,bez zaniku
pedicle subtraction osteotomy,2014,asd,2013,-1,True,465,1202,48,23.3,bez zaniku
pedicle subtraction osteotomy,2014,proximal junctional failure,2021,7,False,465,150,5,19.5,bez zaniku
pedicle subtraction osteotomy,2014,proximal junctional kyphosis,2015,1,False,465,488,15,17.9,bez zaniku
pedicle subtraction osteotomy,2014,pjk,2016,2,False,465,354,10,16.5,bez zaniku
pelvic fixation,2025,adult spinal deformity,2013,-12,True,199,833,37,60.6,bez zaniku
pelvic fixation,2025,asd,2013,-12,True,199,1202,27,30.6,bez zaniku
pelvic fixation,2025,pjk,2016,-9,True,199,354,7,27.0,bez zaniku
pelvic fixation,2025,proximal junctional kyphosis,2015,-10,True,199,488,9,25.1,bez zaniku
percutaneous endoscopic lumbar discectomy,2018,ldh,2015,-3,True,383,551,110,141.4,bez zaniku
percutaneous endoscopic lumbar discectomy,2018,back and leg pain,2010,-8,True,383,358,24,47.5,bez zaniku
percutaneous endoscopic lumbar discectomy,2018,lumbar degenerative disease,2012,-6,True,383,511,5,6.9,bez zaniku
