grupa,rok_szczytu,powiklanie,y0_powiklania,wyprzedzenie_lat,wyprzedza,prac_grupy,prac_powiklania,wspolnych,krotnosc,pasmo
percutaneous kyphoplasty,2024,bone cement leakage,2019,-5,True,573,207,84,192.2,bez zaniku
percutaneous kyphoplasty,2024,ovcf,2011,-13,True,573,601,237,186.7,bez zaniku
percutaneous kyphoplasty,2024,osteoporotic vertebral compression fracture,2016,-8,True,573,928,264,134.7,bez zaniku
percutaneous kyphoplasty,2024,cement leakage,2009,-15,True,573,646,118,86.5,bez zaniku
percutaneous kyphoplasty,2024,vcf,2005,-19,True,573,312,25,37.9,bez zaniku
percutaneous kyphoplasty,2024,sarcopenia,2022,-2,True,573,134,8,28.3,bez zaniku
periacetabular osteotomy,2024,fai,2010,-14,True,404,571,14,16.5,bez zaniku
periacetabular osteotomy,2024,femoroacetabular impingement fai,2010,-14,True,404,449,11,16.5,bez zaniku
periacetabular osteotomy,2024,femoroacetabular impingement,2007,-17,True,404,546,8,9.8,bez zaniku
polyetheretherketone,2025,cage subsidence,2017,-8,True,326,446,28,52.3,bez zaniku
polyetheretherketone,2025,adjacent segment degeneration,2004,-21,True,326,682,11,13.4,bez zaniku
polyetheretherketone,2025,dysphagia,2016,-9,True,326,651,9,11.5,bez zaniku
posterior lumbar fusion,2025,ais patient,2016,-9,True,791,349,69,67.8,bez zaniku
posterior lumbar fusion,2025,ais,2014,-11,True,791,1328,223,57.6,bez zaniku
posterior lumbar fusion,2025,pjk,2016,-9,True,791,354,19,18.4,bez zaniku
posterior lumbar fusion,2025,proximal junctional kyphosis,2015,-10,True,791,488,21,14.8,bez zaniku
posterior lumbar fusion,2025,pjf,2021,-4,True,791,140,6,14.7,bez zaniku
posterior lumbar fusion,2025,proximal junctional failure,2021,-4,True,791,150,5,11.4,bez zaniku
posterior lumbar fusion,2025,early onset scoliosis,2011,-14,True,791,351,11,10.8,bez zaniku
posterior lumbar fusion,2025,asd,2013,-12,True,791,1202,35,10.0,bez zaniku
posterior lumbar fusion,2025,ssi,2007,-18,True,791,1013,28,9.5,bez zaniku
posterior lumbar fusion,2025,acute kidney injury,2017,-8,True,791,256,7,9.4,bez zaniku
posterior lumbar fusion,2025,adult spinal deformity,2013,-12,True,791,833,21,8.6,bez zaniku
posterior lumbar fusion,2025,adjacent segment disease,2010,-15,True,791,640,13,7.0,bez zaniku
posterior lumbar fusion,2025,ssis,2014,-11,True,791,456,9,6.8,bez zaniku
posterior lumbar fusion,2025,degenerative lumbar disease,2015,-10,True,791,259,5,6.6,bez zaniku
posterior lumbar fusion,2025,surgical site infection,2012,-13,True,791,2013,38,6.5,bez zaniku
posterior lumbar fusion,2025,adjacent segment degeneration,2004,-21,True,791,682,11,5.5,bez zaniku
primary anterior cruciate ligament reconstruction,2025,knee injury,2016,-9,True,1391,1153,85,14.4,bez zaniku
primary anterior cruciate ligament reconstruction,2025,kinesiophobia,2022,-3,True,1391,194,13,13.1,bez zaniku
primary anterior cruciate ligament reconstruction,2025,retear,2011,-14,True,1391,429,11,5.0,bez zaniku
primary hip arthroscopy,2021,fais,2019,-2,True,256,258,86,353.3,bez zaniku
primary hip arthroscopy,2021,femoroacetabular impingement syndrome,2018,-3,True,256,453,112,262.0,bez zaniku
primary hip arthroscopy,2021,femoroacetabular impingement fai,2010,-11,True,256,449,36,85.0,bez zaniku
primary hip arthroscopy,2021,fai,2010,-11,True,256,571,37,68.7,bez zaniku
primary hip arthroscopy,2021,femoroacetabular impingement,2007,-14,True,256,546,34,66.0,bez zaniku
primary unilateral total knee arthroplasty,2016,knee osteoarthritis,2015,-1,True,272,1991,16,8.0,bez zaniku
primary unilateral total knee arthroplasty,2016,knee injury,2016,0,False,272,1153,9,7.8,bez zaniku
reverse shoulder arthroplasty,2025,scapular notching,2013,-12,True,2069,285,232,106.8,bez zaniku
reverse shoulder arthroplasty,2025,phf,2019,-6,True,2069,274,90,43.1,bez zaniku
reverse shoulder arthroplasty,2025,glenohumeral osteoarthritis,2020,-5,True,2069,232,51,28.8,bez zaniku
reverse shoulder arthroplasty,2025,proximal humerus fracture,2022,-3,True,2069,767,152,26.0,bez zaniku
reverse shoulder arthroplasty,2025,glenoid bone loss,2014,-11,True,2069,319,37,15.2,bez zaniku
reverse shoulder arthroplasty,2025,cutibacterium acne,2019,-6,True,2069,127,8,8.3,bez zaniku
reverse shoulder arthroplasty,2025,fatty infiltration,2012,-13,True,2069,327,19,7.6,bez zaniku
revision anterior cruciate ligament reconstruction,2023,knee injury,2016,-7,True,457,1153,47,24.2,bez zaniku
robotic assistance,2025,varus knee,2020,-5,True,424,237,9,24.3,bez zaniku
robotic assistance,2025,end stage osteoarthritis,2014,-11,True,424,295,5,10.8,bez zaniku
