pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
134,txa,1,2013,2019,840,0.477,0.641,lek,tranexamic acid,True,False
135,vas pain score,3,2014,2025,828,0.476,0.531,skala,vas,False,False
136,cinahl,1,2019,2023,859,0.474,0.6,metoda,,False,False
137,femoroacetabular impingement syndrome,3,2018,2022,453,0.471,0.508,rozpoznanie,,True,True
138,patient acceptable symptom state,4,2019,2025,382,0.471,0.682,metoda,,False,False
139,continuous variable,2,2016,2025,576,0.466,0.66,metoda,,False,False
140,implant survivorship,2,2016,2023,606,0.464,0.568,wynik,,False,False
141,medicare,1,2015,2019,796,0.461,0.559,organizacja,,False,False
142,female sex,2,2017,2025,639,0.461,0.531,metoda,,False,False
143,visual analog scale score,4,2017,2025,789,0.46,0.524,skala,vas,False,False
144,pelvic incidence,2,2014,2022,678,0.46,0.5,parametr,,False,False
145,interquartile range,2,2018,2023,658,0.46,0.544,metoda,,False,False
146,i2,1,2017,2025,458,0.46,0.631,metoda,,False,False
147,demographic characteristic,2,2019,2025,578,0.457,0.574,metoda,,False,False
148,two cohort,2,2021,2025,582,0.45,0.502,metoda,,False,False
149,primary objective,2,2021,2025,671,0.447,0.517,metoda,,False,False
150,china,1,2015,2025,591,0.445,0.595,metoda,,False,False
151,icc,1,2015,2025,772,0.438,0.631,metoda,,False,False
152,ldh,1,2015,2024,549,0.438,0.571,rozpoznanie,lumbar disc herniation,True,False
153,eq 5d,2,2011,2019,818,0.435,0.518,skala,,False,False
154,2 0,2,2016,2024,679,0.429,0.47,metoda,,False,False
155,pi,1,2014,2025,582,0.425,0.531,parametr,pelvic incidence,False,False
156,4 3,2,2022,2022,767,0.424,0.552,,,False,False
157,data extraction,2,2015,2025,626,0.424,0.56,metoda,,False,False
158,male sex,2,2018,2025,622,0.424,0.495,metoda,,False,False
159,90 day readmission,3,2017,2022,418,0.418,0.478,wynik,,False,False
160,1 0,2,2020,2025,666,0.416,0.524,,,False,False
161,secondary aim,2,2014,2021,532,0.416,0.452,metoda,,False,False
162,cs,1,2020,2025,639,0.411,0.459,metoda,,False,False
163,journal,1,2019,2023,542,0.411,0.496,metoda,,False,False
164,daa,1,2015,2024,482,0.411,0.477,technika,direct anterior approach,True,False
165,covariate,1,2022,2024,558,0.402,0.492,metoda,,False,False
166,intervention group,2,2022,2025,590,0.399,0.61,metoda,,False,False
167,cci,1,2015,2024,459,0.399,0.513,czynnik,charlson comorbidity index,False,False
168,cage subsidence,2,2021,2025,444,0.398,0.574,rozpoznanie,,True,False
169,12 month follow up,4,2016,2025,713,0.396,0.488,metoda,,False,False
170,medical complication,2,2023,2025,546,0.393,0.524,wynik,,False,False
171,lumbar degenerative disease,3,2018,2023,505,0.393,0.448,rozpoznanie,,True,True
172,forgotten joint score,3,2019,2025,373,0.393,0.552,skala,,False,False
173,mean follow up duration,4,2023,2025,654,0.39,0.509,,,False,False
174,radiological parameter,2,2020,2025,518,0.389,0.474,metoda,,False,False
175,english,1,2017,2024,626,0.386,0.463,metoda,,False,False
176,enhanced recovery,2,2017,2025,413,0.386,0.481,organizacja,,False,True
177,risk ratio,2,2014,2025,688,0.383,0.588,metoda,,False,False
178,hka,1,2019,2025,393,0.382,0.509,parametr,hip knee ankle angle,False,False
179,sva,1,2014,2020,589,0.38,0.492,parametr,sagittal vertical axis,False,False
180,mann whitney u test,4,2022,2025,546,0.38,0.481,metoda,,False,False
181,smd,1,2014,2025,492,0.376,0.603,metoda,,False,False
182,comprehensive search,2,2014,2025,437,0.376,0.717,metoda,,False,False
183,smoking status,2,2015,2024,530,0.374,0.405,metoda,,False,False
184,ase score,2,2016,2023,558,0.37,0.416,skala,subjective shoulder value,False,False
185,imn,1,2020,2025,508,0.368,0.445,,,False,False
186,proximal junctional kyphosis,3,2016,2025,491,0.368,0.43,rozpoznanie,,True,True
187,readmission rate,2,2013,2020,602,0.367,0.46,wynik,,False,False
188,rts,1,2018,2025,377,0.366,0.466,wynik,,False,False
189,retrospective observational study,3,2015,2025,432,0.364,0.43,metoda,,False,False
190,lateral lumbar interbody fusion,4,2013,2023,456,0.363,0.424,technika,,True,False
191,secondary analysis,2,2019,2025,442,0.363,0.509,metoda,,False,True
192,pod,1,2021,2025,504,0.36,0.567,metoda,,False,False
193,mpta,1,2018,2025,344,0.36,0.474,parametr,medial proximal tibial angle,False,False
194,taa,1,2015,2023,515,0.358,0.528,technika,total ankle arthroplasty,True,False
195,numeric rating scale,3,2014,2025,510,0.358,0.423,skala,,False,False
196,olif,1,2018,2022,344,0.358,0.427,technika,oblique lumbar interbody fusion,True,False
197,linear regression,2,2014,2025,536,0.357,0.416,metoda,,False,False
198,similar outcome,2,2020,2023,567,0.354,0.448,metoda,,False,False
199,prospero,1,2020,2025,313,0.353,0.474,metoda,,False,False
200,existing literature,2,2022,2025,456,0.351,0.509,metoda,,False,False
201,limited data,2,2023,2024,581,0.35,0.455,metoda,,False,False
202,sagittal vertical axis,3,2014,2020,547,0.35,0.448,parametr,,False,False
203,both cohort,2,2019,2025,490,0.35,0.402,metoda,,False,False
204,secondary objective,2,2018,2023,488,0.348,0.376,metoda,,False,False
205,cis,1,2013,2025,462,0.348,0.509,metoda,,False,False
206,perioperative outcome,2,2014,2025,496,0.347,0.502,wynik,,False,False
207,percutaneous kyphoplasty,2,2016,2024,477,0.347,0.39,technika,,True,True
208,pkp,1,2016,2024,431,0.347,0.39,technika,percutaneous kyphoplasty,True,False
209,categorical variable,2,2019,2025,419,0.345,0.595,metoda,,False,False
210,prognostic level iii,3,2016,2024,429,0.344,0.441,metoda,,False,False
211,ss,1,2020,2022,487,0.339,0.464,parametr,sacral slope,False,False
212,adjusted odd ratio,3,2017,2025,471,0.339,0.38,metoda,,False,False
213,hip knee ankle angle,4,2019,2024,384,0.339,0.441,parametr,,False,False
214,transfusion rate,2,2015,2019,763,0.338,0.566,wynik,,False,False
215,mep,1,2013,2025,587,0.338,0.38,technologia,motor evoked potential,True,False
216,minimum clinically important difference,4,2017,2023,397,0.337,0.456,metoda,,False,False
217,covid 19,2,2020,2020,365,0.337,0.838,rozpoznanie,,True,True
218,esr,1,2017,2021,536,0.335,0.379,parametr,erythrocyte sedimentation rate,False,False
219,higher odd,2,2018,2025,375,0.334,0.445,metoda,,False,False
220,retrospective case control study,4,2015,2024,518,0.332,0.39,metoda,,False,False
221,ors,1,2017,2025,448,0.332,0.452,metoda,,False,False
222,similar rate,2,2021,2024,407,0.332,0.412,metoda,,False,False
223,all cause revision,3,2019,2025,304,0.332,0.481,wynik,,False,False
224,sacral slope,2,2015,2025,490,0.331,0.373,parametr,,False,False
225,electronic medical record,3,2013,2024,441,0.331,0.398,technologia,,True,False
226,posterior tibial slope,3,2021,2025,434,0.331,0.445,parametr,,False,False
227,artificial intelligence,2,2021,2025,250,0.331,0.552,technologia,,True,True
228,lld,1,2023,2023,432,0.329,0.4,,,False,False
229,mechanical complication,2,2021,2025,399,0.329,0.474,wynik,,False,False
230,all participant,2,2015,2025,517,0.328,0.409,metoda,,False,False
231,shorter operative time,3,2022,2025,433,0.328,0.56,metoda,,False,False
232,quality assessment,2,2014,2025,426,0.328,0.402,metoda,,False,False
233,reduction quality,2,2021,2025,364,0.328,0.409,parametr,,False,False
234,confounder,1,2015,2025,394,0.326,0.416,metoda,,False,False
235,medial proximal tibial angle,4,2019,2024,334,0.324,0.398,parametr,,False,False
